fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230903 163351	-0.999678068618225	4818	2401	5	1	5	62489000	247
20230903 163419	-0.375418589623818	5526	2757	9	1	5	56679000	248
20230903 163434	-0.3151562564777	8000	3488	3	1	5	55097000	249
20230903 163501	-0.733694729242171	4957	2475	8	1	5	60662000	250
20230903 163536	-0.57087690845552	1501	749	20	1	5	67928000	251
20230903 163605	-0.999844736176552	3208	1600	17	1	5	63301000	252
20230903 163640	-0.873889285189041	1553	743	16	1	5	68327000	253
20230903 163704	-0.999749083222647	7999	3333	7	1	5	55216000	254
20230903 163731	-0.999294055084803	7992	2423	12	1	5	54096000	255
20230903 163757	-0.535840983456831	1353	277	7	1	5	75467000	256
20230903 163844	-0.786586644419481	4692	3	20	1	5	62069000	257
20230903 163908	-0.99829111384408	4214	265	7	1	5	66878000	258
20230903 163930	-0.362198333039647	7192	2521	6	1	5	55181000	259
20230903 164009	-0.437320199715874	1530	308	18	1	5	72905000	260
20230903 164033	-0.628445666646405	4150	2074	7	1	5	63574000	261
20230903 164111	-0.923738515719837	1945	285	16	1	5	73325000	262
20230903 164145	-0.191732695268519	2987	901	17	1	5	69188000	263
20230903 164211	-0.647608240323478	932	287	7	1	5	73052000	264
20230903 164238	-0.898031281669546	990	291	7	1	5	74942000	265
20230903 164255	-0.133231146606197	1375	359	3	1	5	61369000	266
20230903 164314	0.0543676969407247	4	2	6	1	5	0	267
20230903 164340	-0.1152544016183	3064	688	7	1	5	71715000	268
20230903 164356	-0.825346458567159	4147	2045	3	1	5	58933000	269
20230903 164421	-0.182695612018391	3000	1499	7	1	5	66136000	270
20230903 164452	-0.738859530722687	4773	1221	16	1	5	67837000	271
20230903 164531	-0.732554020766221	2170	266	20	1	5	71323000	272
20230903 164601	-0.0794818092192765	5203	286	12	1	5	63161000	273
20230903 164636	-0.606224322241869	2910	442	20	1	5	71421000	274
20230903 164700	-0.597590312901867	5965	323	7	1	5	55349000	275
20230903 164725	-0.907057770414549	553	2	7	1	5	72660000	276
20230903 164753	-0.979176267578334	1928	454	7	1	5	73171000	277
20230903 164820	-0.857481286304881	1246	422	7	1	5	73486000	278
20230903 164846	-0.99997540120029	6582	3277	11	1	5	56812000	279
20230903 164917	-0.11599427535237	2869	291	12	1	5	72373000	280
20230903 164954	-0.616507091683548	4627	378	17	1	5	66892000	281
20230903 165032	-0.978391569074446	2637	382	18	1	5	70973000	282
20230903 165056	-0.0597447562927342	4769	2382	7	1	5	62503000	283
20230903 165123	-0.122557697255525	831	379	7	1	5	73773000	284
20230903 165158	-0.120071477765027	1444	303	12	1	5	74452000	285
20230903 165223	-0.244990228695744	2913	353	7	1	5	72289000	286
20230903 165302	-0.0636217113143398	3052	272	20	1	5	71120000	287
20230903 165328	-0.0455124671472469	7365	3672	20	1	5	56791000	288
