Feature	Gain	Cover	Frequency
mcomisiones_otras	0.00199077588991942	0.0014541565997026	0.00351916476365996
ccuenta_debitos_automaticos_rank	0.00197653378921069	0.00127591745361175	0.00290862599577546
ctarjeta_visa_transacciones_lag_2	0.00196170525888342	0.00152641357831969	0.00186298786089658
Visa_fultimo_cierre_rank	0.00195606731251797	0.00165299440037412	0.00334396668244093
ctarjeta_visa_debitos_automaticos_rank	0.00190479125005487	0.00113468743910566	0.00264968998868452
Master_mlimitecompra	0.00190116648767623	0.00158024907442297	0.00311857410963297
Visa_fultimo_cierre_lag_1	0.00189150609471841	0.00128434649475094	0.00357925336176401
mtransferencias_recibidas_rank	0.001867193234376	0.00109765439312619	0.0028031692995045
mcuenta_debitos_automaticos_rank	0.0018475920816276	0.0010386588156198	0.00192935077044925
ccaja_ahorro	0.00181193690937913	0.00087153506558496	0.000387076752445353
Master_mpagospesos_rank	0.00180286215943113	0.00117389225584307	0.00338450838718583
cseguro_accidentes_personales_rank	0.00179595544402873	0.00163403115463354	0.00270060843928675
Visa_mpagospesos_rank	0.00178675768116763	0.00517038230966343	0.00283888461082739
Master_mlimitecompra_lag_2	0.00176165720864975	0.00133493407233501	0.00263352157072078
Visa_fultimo_cierre_lag_2	0.00175693449324426	0.00191680073703831	0.00344242510824997
mpayroll_lag_2	0.00175374072052773	0.00316477388867343	0.000774636144232906
mcomisiones_mantenimiento_lag_1	0.00175358490714131	0.00234182027226608	0.00300032747079368
Master_fultimo_cierre_rank	0.00175000795639134	0.0013137707885442	0.00277300434061692
Visa_mlimitecompra_lag_2	0.00174582587698922	0.00131276082340576	0.00270012579994454
Master_fultimo_cierre_lag_2	0.00173215442997826	0.00153939266482531	0.0031694925602352
Visa_cconsumos_lag_1	0.00172919082712614	0.00120521100233171	0.00233307858020054
Visa_delinquency_rank	0.00172635107083039	0.00170017584886386	0.00189628997550847
ccomisiones_otras_lag_2	0.00172601838854631	0.00133437890536871	0.00315235886358706
Visa_cconsumos_rank	0.00172523531988601	0.00138145391356841	0.00268830113606062
Master_fultimo_cierre_lag_1	0.00171807192533453	0.00133322264703942	0.00331911075631757
mautoservicio_rank	0.00170354939453606	0.00210678611092471	0.00174256934501739
Visa_Finiciomora_lag_1	0.00168968356939777	0.0062494062745559	0.00097927522532621
Master_mconsumospesos_rank	0.0016729031931597	0.000871396987161207	0.0032102755846512
cproductos_lag_2	0.00165082759741489	0.00396053839765871	0.00301263477401981
ccallcenter_transacciones_rank	0.00165079649292563	0.00477699811459791	0.00144815934627466
ccajas_transacciones_rank	0.00161330716616255	0.00159902349332397	0.00257536352998554
cprestamos_personales_lag_2	0.00159732602934313	0.00308141647045028	0.00099544364328995
Visa_mconsumospesos_rank	0.00159448910020623	0.00123442334451693	0.00240426788317522
Master_mlimitecompra_lag_1	0.00159344710932332	0.0012126654456254	0.00244939466167103
mtransferencias_recibidas	0.00156728745946756	0.00129193440478573	0.00196844455716754
mtransferencias_recibidas_lag_2	0.00154475778941131	0.00132929424322477	0.00232632162940973
internet_lag_1	0.00153822228575905	0.00363165663349681	0.00123990047011485
ccomisiones_otras	0.00153221118518074	0.000784897301082639	0.00288763118438971
ctarjeta_debito_transacciones_rank	0.00151210837455895	0.000825534751968827	0.00196820323749644
Visa_cconsumos	0.00150364677433803	0.00151443046928769	0.00217429023661635
Visa_mlimitecompra_lag_1	0.00149466211001874	0.00137911752232822	0.00245011862068433
cseguro_vida_rank	0.00149433153471737	0.00171829653686437	0.00252347980069891
ctarjeta_master_rank	0.00148823523104051	0.00113514844811948	0.00179107459890861
Visa_mconsumosdolares_rank	0.00145869165879988	0.00108272956803269	0.00250489818602416
Visa_msaldopesos_lag_2	0.0014457442320914	0.00124633680718747	0.00214991694983519
mtransferencias_recibidas_lag_1	0.00144381127892296	0.00123534903198416	0.00202829183560049
mttarjeta_visa_debitos_automaticos_lag_1	0.00144231201999522	0.000957697733875916	0.00166220989454089
Visa_msaldototal_lag_2	0.00143988452524184	0.0012809516128539	0.0021129950401568
Visa_msaldototal_lag_1	0.00141651034792653	0.00175255579175085	0.00208669119600684
mttarjeta_visa_debitos_automaticos	0.00140482449839772	0.00106422629616565	0.00165328106671017
ccomisiones_mantenimiento_lag_2	0.00140057449987452	0.00381569315572155	0.000870922693002043
cproductos_lag_1	0.0013928483903567	0.00206204276284327	0.00248269677628291
mcuenta_debitos_automaticos	0.00139236425064371	0.00161335658976562	0.00149521668213928
Master_Finiciomora	0.00138399959591186	0.0111602042994338	0.000702481562573829
ccomisiones_otras_lag_1	0.00137050153803442	0.000831009476204256	0.00291876142196168
mcuenta_debitos_automaticos_lag_2	0.00135199060759613	0.00127714337157353	0.0017454651810706
Master_cconsumos_rank	0.00134569734685841	0.000723472674009887	0.00242043630113896
mtransferencias_emitidas_rank	0.00134288327654604	0.00101426774546113	0.00178576556614439
mttarjeta_visa_debitos_automaticos_rank	0.00133854865535848	0.00117207485474347	0.00211806275324991
