fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230920 070256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2227	TRUE	540187	0.0604270772817252	0.538732882684434	436	389	15000	621600000	104
20230920 072950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1975	TRUE	540187	0.0553512402425119	0.594547354755655	747	543	15000	611800000	105
20230920 075428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2250	TRUE	540187	0.0586796618282217	0.799268027564294	2118	322	14694	570570000	106
20230920 080303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	824	TRUE	540187	0.245579162203022	0.420233093583371	4859	543	14998	530075000	107
20230920 081852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1548	TRUE	540187	0.0723246040760896	0.294272346506508	7	417	10883	513240000	108
20230920 092522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4190	TRUE	540187	0.0156905487610744	0.56994225000497	161	969	13079	588035000	109
20230920 093103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373	TRUE	540187	0.234752656585349	0.408421404333303	67	1020	12854	546490000	110
20230920 094039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1219	TRUE	540187	0.285078864782654	0.892083538800947	7813	920	14991	544950000	111
20230920 094848	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	669	TRUE	540187	0.237639919407694	0.840046955876722	872	1024	14991	589470000	112
20230920 095536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	461	TRUE	540187	0.154778959684827	0.357302518832275	61	746	15000	585480000	113
20230920 100238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	555	TRUE	540187	0.195335212264967	0.401485871505723	397	387	14999	595035000	114
20230920 100319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9	TRUE	540187	0.184686698348346	0.200074595470872	9	125	14998	278355000	115
20230920 110315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5755	TRUE	540187	0.0210762206491479	0.361390304379343	122	397	14998	624715000	116
20230920 111132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	828	TRUE	540187	0.299674642200125	0.437131362997939	7167	339	14987	515025000	117
20230920 115434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3628	TRUE	540187	0.020929998930048	0.354324578746863	25	593	14998	617155000	118
20230920 124205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3855	TRUE	540187	0.0327340327934767	0.494719087835646	299	410	15000	624120000	119
20230920 140350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9980	TRUE	540187	0.0113865380702635	0.200575323418307	24	333	14998	599795000	120
